game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
c17c1b6d-b65a-4cd0-b948-918a794daf54,1,Rated Bullet game,https://lichess.org/f1bfHsoG,2024.02.07,?,canijustlose,gerusbeker,0-1,1923,-14,1929,+6,,,gerusbeker,1929,canijustlose,1923,6,A06,Time forfeit,60+0,2024.02.07,07:12:37,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
592319c1-76bb-424b-a617-2055ee40dbd3,2,Rated Blitz game,https://lichess.org/prEjT0ky,2024.02.06,?,Dragon2776,canijustlose,1-0,1678,+5,1675,-9,,,Dragon2776,1678,canijustlose,1675,3,C24,Normal,180+0,2024.02.06,04:22:35,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
783b6cb3-e1f9-4d3b-9cb6-d03af5d223c2,3,Rated Bullet game,https://lichess.org/QrMLf1la,2024.02.06,?,Thesoar,canijustlose,0-1,1934,-6,1906,+17,,,canijustlose,1906,Thesoar,1934,-28,B06,Time forfeit,60+0,2024.02.06,00:03:01,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
c1d778a0-2cb6-4f0c-8bb9-e416343c64d5,4,Rated Bullet game,https://lichess.org/w1mNW8FO,2024.02.05,?,feresco,canijustlose,1-0,1943,+5,1921,-15,,,feresco,1943,canijustlose,1921,22,A45,Normal,60+0,2024.02.05,23:57:35,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
c3ce5c5f-1210-4ebf-9634-5881c1e463ab,5,Rated Bullet game,https://lichess.org/teUmJyx9,2024.02.05,?,canijustlose,Yaperopake,0-1,1939,-18,1901,+6,,,Yaperopake,1901,canijustlose,1939,-38,C41,Normal,60+0,2024.02.05,23:56:23,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
054b9c86-f355-4008-b053-0322b89b7bad,6,Rated Blitz game,https://lichess.org/gAHa0QkP,2024.02.05,?,canijustlose,Ali1hakim,1-0,1666,+9,1682,-6,,,canijustlose,1666,Ali1hakim,1682,-16,C50,Normal,180+0,2024.02.05,23:55:04,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
27fac0cc-c159-4116-8b0f-230d1ec16a85,7,Rated Blitz game,https://lichess.org/a9PGsPAG,2024.02.05,?,canijustlose,mohamedelmogy,0-1,1674,-8,1694,+5,,,mohamedelmogy,1694,canijustlose,1674,20,C50,Normal,180+0,2024.02.05,21:05:05,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
f0179d06-587f-4ef4-9e73-a27e8563f5c5,8,Rated Bullet game,https://lichess.org/OxDIpF0f,2024.02.05,?,amr10,canijustlose,1-0,1930,+6,1958,-19,,,amr10,1930,canijustlose,1958,-28,C00,Normal,60+0,2024.02.05,20:46:48,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
040d25ed-b338-41ed-a303-2853a3368c3c,9,Rated Bullet game,https://lichess.org/vyqaPqem,2024.02.05,?,canijustlose,garlick,0-1,1976,-18,1959,+6,,,garlick,1959,canijustlose,1976,-17,B21,Normal,60+0,2024.02.05,20:45:22,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
aea3bde6-b6ba-49ed-ad7a-153ffd1488b8,10,Rated Bullet game,https://lichess.org/9FGQST6T,2024.02.05,?,bloodshot77,canijustlose,0-1,1988,-6,1955,+21,,,canijustlose,1955,bloodshot77,1988,-33,A05,Normal,60+0,2024.02.05,20:43:08,Standard,,2024-02-07T07:36:23+0000,canijustlose.pgn
